Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Age_clean,Embarked_clean,Fare_clean,Fare_clean_tr,Title,Cabin_ind,Family_cnt
2,1,62.0,0,0,10.5,54,2,62.0,3,10.5,1.6004343344404717,3,0,0
3,1,8.0,4,1,29.125,54,1,8.0,2,29.125,1.9626966753210602,14,0,5
3,1,32.0,0,0,56.4958,54,2,32.0,3,56.4958,2.2408007055327177,3,0,0
3,0,20.0,1,0,9.825,54,2,20.0,3,9.825,1.5793068236286465,15,0,1
2,0,28.0,0,0,13.0,54,2,28.0,3,13.0,1.6702776523348104,15,0,0
3,0,21.0,0,0,7.75,54,1,21.0,2,7.75,1.5061226525730975,15,0,0
3,1,37.0,2,0,7.925,54,2,37.0,3,7.925,1.5128638802220769,3,0,2
3,0,17.0,0,0,14.4583,54,0,17.0,0,14.4583,1.7061744981851188,15,0,0
3,0,,0,0,7.75,54,1,29.69911764705882,2,7.75,1.5061226525730975,15,0,0
1,1,46.0,1,0,61.175,27,2,46.0,3,61.175,2.276747118546924,3,1,1
3,1,,0,0,15.1,54,2,29.69911764705882,3,15.1,1.7210575366331091,3,0,0
3,1,24.0,0,0,8.05,54,2,24.0,3,8.05,1.5176064932892266,3,0,0
1,1,29.0,1,0,66.6,106,2,29.0,3,66.6,2.3157669197586563,3,1,1
1,0,56.0,0,1,83.1583,116,0,56.0,0,83.1583,2.4209238028779256,4,1,1
2,1,31.0,1,1,37.0042,54,0,31.0,0,37.0042,2.058970877498828,3,0,2
3,1,,0,0,7.75,54,1,29.69911764705882,2,7.75,1.5061226525730975,3,0,0
2,1,32.0,1,0,26.0,54,2,32.0,3,26.0,1.9186451916253064,3,0,1
3,1,33.0,1,1,20.525,54,2,33.0,3,20.525,1.830023358661372,3,0,2
3,1,59.0,0,0,7.25,54,2,59.0,3,7.25,1.4861669577303998,3,0,0
1,0,58.0,0,0,26.55,92,2,58.0,3,26.55,1.9266947105086851,15,1,0
3,0,,1,0,16.1,54,2,29.69911764705882,3,16.1,1.7432720823741534,4,0,1
2,0,3.0,1,2,41.5792,54,0,3.0,0,41.5792,2.1075370871655457,15,0,3
3,1,,0,0,7.8958,54,0,29.69911764705882,0,7.8958,1.5117473912278288,3,0,0
1,0,16.0,0,1,57.9792,57,0,16.0,0,57.9792,2.2524462888927452,15,1,1
3,0,45.0,1,4,27.9,54,2,45.0,3,27.9,1.945901445382932,4,0,5
1,0,43.0,0,1,211.3375,63,2,43.0,3,211.3375,2.9173955295624148,4,1,1
1,0,30.0,0,0,106.425,54,0,30.0,0,106.425,2.5433652414675887,15,0,0
3,1,28.5,0,0,16.1,54,2,28.5,3,16.1,1.7432720823741534,3,0,0
3,1,24.0,0,0,7.7958,54,2,24.0,3,7.7958,1.5078985992178089,3,0,0
2,1,30.0,0,0,13.0,54,2,30.0,3,13.0,1.6702776523348104,3,0,0
1,1,36.0,0,0,40.125,0,0,36.0,0,40.125,2.0925845238681964,3,1,0
3,1,25.0,0,0,7.05,54,2,25.0,3,7.05,1.4778754110912282,3,0,0
3,0,,0,2,7.75,54,1,29.69911764705882,2,7.75,1.5061226525730975,15,0,2
1,0,50.0,0,0,28.7125,114,0,50.0,0,28.7125,1.9571053387299904,15,1,0
3,0,0.75,2,1,19.2583,54,0,0.75,0,19.2583,1.806856196923988,15,0,3
1,0,24.0,0,0,49.5042,131,0,24.0,0,49.5042,2.1823701323690363,16,1,0
2,0,24.0,1,2,65.0,54,2,24.0,3,65.0,2.3045316198021406,15,0,3
1,0,35.0,1,0,52.0,54,2,35.0,3,52.0,2.2039445754429603,4,0,1
1,0,30.0,0,0,86.5,83,2,30.0,3,86.5,2.4400752592578163,15,1,0
2,1,23.0,0,0,13.0,54,2,23.0,3,13.0,1.6702776523348104,3,0,0
3,1,,0,0,7.8958,54,2,29.69911764705882,3,7.8958,1.5117473912278288,3,0,0
2,1,27.0,0,0,26.0,54,2,27.0,3,26.0,1.9186451916253064,3,0,0
2,0,55.0,0,0,16.0,54,2,55.0,3,16.0,1.7411011265922482,4,0,0
1,0,35.0,1,0,53.1,99,2,35.0,3,53.1,2.213191044542816,4,1,1
3,1,,0,0,6.8583,54,1,29.69911764705882,2,6.8583,1.469749413897551,3,0,0
1,0,,0,0,79.2,54,0,29.69911764705882,0,79.2,2.397425036114708,4,0,0
3,1,,1,0,19.9667,54,2,29.69911764705882,3,19.9667,1.8199575509815569,3,0,1
2,0,23.0,0,0,13.7917,138,0,23.0,0,13.7917,1.6901434253228618,4,1,0
3,0,,0,0,7.7333,54,1,29.69911764705882,2,7.7333,1.5054730020960585,15,0,0
1,0,23.0,1,0,113.275,6,0,23.0,0,113.275,2.575293989068137,15,1,1
3,1,51.0,0,0,8.05,54,2,51.0,3,8.05,1.5176064932892266,3,0,0
2,0,33.0,0,2,26.0,54,2,33.0,3,26.0,1.9186451916253064,4,0,2
3,0,29.0,0,4,21.075,54,2,29.0,3,21.075,1.8397275698182904,4,0,4
3,1,,0,0,7.8958,54,0,29.69911764705882,0,7.8958,1.5117473912278288,3,0,0
3,1,,8,2,69.55,54,2,29.69911764705882,3,69.55,2.3359278624155344,3,0,10
2,0,2.0,1,1,26.0,54,2,2.0,3,26.0,1.9186451916253064,15,0,2
2,0,14.0,1,0,30.0708,54,0,14.0,0,30.0708,1.975281500800348,4,0,1
2,1,54.0,1,0,26.0,54,2,54.0,3,26.0,1.9186451916253064,6,0,1
3,0,15.0,0,0,8.0292,54,1,15.0,2,8.0292,1.516821427682057,15,0,0
1,0,22.0,0,1,55.0,28,2,22.0,3,55.0,2.2288073840335185,15,1,1
2,1,27.0,0,0,13.0,54,2,27.0,3,13.0,1.6702776523348104,3,0,0
3,1,,0,0,7.8958,54,2,29.69911764705882,3,7.8958,1.5117473912278288,3,0,0
1,1,,0,0,39.6,54,0,29.69911764705882,0,39.6,2.0870797156498897,10,0,0
2,0,28.0,1,0,24.0,54,0,28.0,0,24.0,1.888175022589804,4,0,1
3,1,39.0,0,0,7.925,54,2,39.0,3,7.925,1.5128638802220769,3,0,0
2,1,2.0,1,1,26.0,48,2,2.0,3,26.0,1.9186451916253064,14,1,2
3,1,24.0,1,0,16.1,54,2,24.0,3,16.1,1.7432720823741534,3,0,1
3,1,32.0,0,0,7.8958,54,2,32.0,3,7.8958,1.5117473912278288,3,0,0
3,1,45.5,0,0,7.225,54,0,45.5,0,7.225,1.4851405983548165,3,0,0
2,0,8.0,0,2,26.25,54,2,8.0,3,26.25,1.92232078407926,15,0,2
3,1,26.0,1,2,20.575,54,2,26.0,3,20.575,1.8309140981238017,3,0,3
1,0,29.0,0,0,211.3375,74,2,29.0,3,211.3375,2.9173955295624148,15,1,0
2,0,45.0,1,1,26.25,54,2,45.0,3,26.25,1.92232078407926,4,0,2
3,0,36.0,1,0,17.4,54,2,36.0,3,17.4,1.77055674308707,4,0,1
1,1,,0,0,26.0,71,2,29.69911764705882,3,26.0,1.9186451916253064,3,1,0
3,0,4.0,0,2,22.025,54,2,4.0,3,22.025,1.8560222721344488,15,0,2
2,1,16.0,0,0,26.0,54,2,16.0,3,26.0,1.9186451916253064,3,0,0
1,1,58.0,0,0,29.7,66,0,58.0,0,29.7,1.9703858946219757,3,1,0
3,1,40.5,0,2,14.5,54,2,40.5,3,14.5,1.7071575395958585,3,0,2
3,1,25.0,0,0,7.65,47,2,25.0,3,7.65,1.5022156669730249,3,1,0
3,1,,0,0,7.8958,54,2,29.69911764705882,3,7.8958,1.5117473912278288,3,0,0
3,1,51.0,0,0,7.0542,54,2,51.0,3,7.0542,1.4780514564280194,3,0,0
2,1,,0,0,0.0,54,2,29.69911764705882,3,0.0,0.0,3,0,0
3,0,17.0,4,2,7.925,54,2,17.0,3,7.925,1.5128638802220769,15,0,6
3,1,,0,0,6.95,54,1,29.69911764705882,2,6.95,1.4736588647118656,3,0,0
3,1,40.0,1,1,15.5,54,1,40.0,2,15.5,1.7300806134344884,3,0,2
3,1,25.0,0,0,0.0,54,2,25.0,3,0.0,0.0,3,0,0
1,1,47.0,0,0,25.5875,38,2,47.0,3,25.5875,1.9125181754898144,3,1,0
1,1,,0,0,26.55,100,2,29.69911764705882,3,26.55,1.9266947105086851,3,1,0
2,1,44.0,1,0,26.0,54,2,44.0,3,26.0,1.9186451916253064,3,0,1
1,0,23.0,3,2,263.0,108,2,23.0,3,249.0062200000004,3.014685687666117,15,1,5
2,1,18.0,0,0,11.5,54,2,18.0,3,11.5,1.629819719346329,3,0,0
2,1,29.0,1,0,21.0,54,2,29.0,3,21.0,1.8384162872525438,3,0,1
3,1,12.0,1,0,11.2417,54,0,12.0,0,11.2417,1.6224316067712792,14,0,1
3,1,11.0,0,0,18.7875,54,0,11.0,0,18.7875,1.7979342213128344,3,0,0
3,0,22.0,0,0,7.75,54,1,22.0,2,7.75,1.5061226525730975,15,0,0
2,1,19.0,0,0,10.5,54,2,19.0,3,10.5,1.6004343344404717,3,0,0
3,1,22.0,1,0,7.25,54,2,22.0,3,7.25,1.4861669577303998,3,0,1
3,1,33.0,0,0,7.8958,54,2,33.0,3,7.8958,1.5117473912278288,3,0,0
1,1,56.0,0,0,26.55,54,2,56.0,3,26.55,1.9266947105086851,3,0,0
2,1,1.0,0,2,37.0042,54,0,1.0,0,37.0042,2.058970877498828,14,0,2
3,1,22.0,0,0,7.7958,54,2,22.0,3,7.7958,1.5078985992178089,3,0,0
3,1,,0,0,7.2292,54,0,29.69911764705882,0,7.2292,1.4853132250847014,3,0,0
3,1,,0,0,7.75,54,1,29.69911764705882,2,7.75,1.5061226525730975,3,0,0
3,1,7.0,4,1,29.125,54,1,7.0,2,29.125,1.9626966753210602,14,0,5
3,0,4.0,0,1,13.4167,54,0,4.0,0,13.4167,1.6808507094662857,15,0,1
3,1,70.5,0,0,7.75,54,1,65.0,2,7.75,1.5061226525730975,3,0,0
2,1,18.0,0,0,13.0,54,2,18.0,3,13.0,1.6702776523348104,3,0,0
3,1,20.0,1,1,15.7417,54,0,20.0,0,15.7417,1.7354428893282614,3,0,2
2,1,24.0,2,0,73.5,54,2,24.0,3,73.5,2.3618780376616875,3,0,2
3,1,,0,0,7.225,54,0,29.69911764705882,0,7.225,1.4851405983548165,3,0,0
2,0,34.0,0,0,10.5,49,2,34.0,3,10.5,1.6004343344404717,4,1,0
3,0,,0,0,7.75,54,1,29.69911764705882,2,7.75,1.5061226525730975,15,0,0
1,0,31.0,0,2,164.8667,122,2,31.0,3,164.8667,2.7760455575207867,15,1,2
3,1,30.0,0,0,7.8958,54,2,30.0,3,7.8958,1.5117473912278288,3,0,0
2,1,18.0,0,0,11.5,54,2,18.0,3,11.5,1.629819719346329,3,0,0
3,0,9.0,3,2,27.9,54,2,9.0,3,27.9,1.945901445382932,15,0,5
1,0,39.0,1,1,79.65,40,2,39.0,3,79.65,2.400143212074232,4,1,2
1,0,33.0,1,0,53.1,43,2,33.0,3,53.1,2.213191044542816,4,1,1
1,1,70.0,1,1,71.0,61,2,65.0,3,71.0,2.345587668505003,0,1,2
1,0,24.0,0,0,69.3,65,0,24.0,0,69.3,2.3342461271493042,2,1,0
1,0,58.0,0,1,153.4625,101,2,58.0,3,153.4625,2.7365315134405868,4,1,1
3,1,21.0,0,0,7.8542,54,2,21.0,3,7.8542,1.5101510578167705,3,0,0
1,0,17.0,1,0,108.9,120,0,17.0,0,108.9,2.5550863153165126,4,1,1
3,0,28.0,1,1,14.4,54,2,28.0,3,14.4,1.7047963168076516,4,0,2
1,0,24.0,0,0,83.1583,118,0,24.0,0,83.1583,2.4209238028779256,15,1,0
3,1,,0,0,7.225,54,0,29.69911764705882,0,7.225,1.4851405983548165,3,0,0
3,1,,1,0,15.5,54,1,29.69911764705882,2,15.5,1.7300806134344884,3,0,1
3,1,42.0,0,0,8.6625,54,2,42.0,3,8.6625,1.5400281152322484,3,0,0
3,1,18.0,1,0,6.4958,54,2,18.0,3,6.4958,1.4538731930737308,3,0,1
3,0,2.0,0,1,12.2875,54,2,2.0,3,12.2875,1.6515537262265718,15,0,1
2,0,34.0,0,0,13.0,54,2,34.0,3,13.0,1.6702776523348104,15,0,0
3,1,3.0,4,2,31.3875,54,2,3.0,3,31.3875,1.9922844494899752,14,0,6
1,0,58.0,0,0,146.5208,86,0,58.0,0,146.5208,2.7113142476834304,15,1,0
3,1,32.0,0,0,7.75,54,1,32.0,2,7.75,1.5061226525730975,3,0,0
3,1,31.0,0,0,7.925,54,2,31.0,3,7.925,1.5128638802220769,3,0,0
3,1,,0,0,7.775,54,2,29.69911764705882,3,7.775,1.5070930932320792,3,0,0
2,0,27.0,1,0,13.8583,54,0,27.0,0,13.8583,1.6917726190061628,15,0,1
3,1,11.0,5,2,46.9,54,2,11.0,3,46.9,2.1589101519708302,14,0,7
2,1,23.0,0,0,13.0,54,2,23.0,3,13.0,1.6702776523348104,3,0,0
1,1,40.0,0,0,0.0,89,2,40.0,3,0.0,0.0,3,1,0
3,1,,0,0,7.2292,54,0,29.69911764705882,0,7.2292,1.4853132250847014,3,0,0
3,0,28.0,0,0,7.8958,54,2,28.0,3,7.8958,1.5117473912278288,15,0,0
2,0,28.0,0,0,13.0,54,2,28.0,3,13.0,1.6702776523348104,5,0,0
3,1,,1,0,19.9667,54,2,29.69911764705882,3,19.9667,1.8199575509815569,3,0,1
3,1,19.0,0,0,10.1708,54,2,19.0,3,10.1708,1.59027057377503,3,0,0
3,0,30.0,1,1,24.15,54,2,30.0,3,24.15,1.8905293628517983,4,0,2
3,1,20.0,0,0,7.8542,54,2,20.0,3,7.8542,1.5101510578167705,3,0,0
3,1,28.0,0,0,56.4958,54,2,28.0,3,56.4958,2.2408007055327177,3,0,0
3,1,36.0,0,0,0.0,54,2,36.0,3,0.0,0.0,3,0,0
3,1,,0,0,8.05,54,2,29.69911764705882,3,8.05,1.5176064932892266,3,0,0
1,0,24.0,3,2,263.0,108,2,24.0,3,249.0062200000004,3.014685687666117,15,1,5
3,1,28.5,0,0,7.2292,54,0,28.5,0,7.2292,1.4853132250847014,3,0,0
3,0,24.0,0,3,19.2583,54,0,24.0,0,19.2583,1.806856196923988,4,0,3
2,1,42.0,0,0,13.0,54,2,42.0,3,13.0,1.6702776523348104,6,0,0
1,1,54.0,0,1,77.2875,146,2,54.0,3,77.2875,2.3857330771281977,3,1,1
3,1,25.0,0,0,7.7417,54,1,25.0,2,7.7417,1.5057999125305377,3,0,0
3,1,7.0,4,1,39.6875,54,2,7.0,3,39.6875,2.0880012221280344,14,0,5
3,1,25.0,1,0,17.8,54,2,25.0,3,17.8,1.7786233949266408,3,0,1
3,0,27.0,0,1,12.475,22,2,27.0,3,12.475,1.656563586916615,4,1,1
3,0,24.0,1,0,15.85,54,2,24.0,3,15.85,1.7378242505455312,4,0,1
3,1,,0,0,7.25,54,2,29.69911764705882,3,7.25,1.4861669577303998,3,0,0
2,0,28.0,0,0,12.65,54,2,28.0,3,12.65,1.6611853985484897,4,0,0
3,1,19.0,0,0,14.5,54,2,19.0,3,14.5,1.7071575395958585,3,0,0
3,1,22.0,0,0,7.25,54,2,22.0,3,7.25,1.4861669577303998,3,0,0
3,0,,0,0,7.225,54,0,29.69911764705882,0,7.225,1.4851405983548165,4,0,0
3,0,,8,2,69.55,54,2,29.69911764705882,3,69.55,2.3359278624155344,15,0,10
1,1,42.0,0,0,26.2875,25,2,42.0,3,26.2875,1.9228697050094496,3,1,0
2,1,50.0,0,0,13.0,54,2,50.0,3,13.0,1.6702776523348104,3,0,0
2,1,3.0,1,1,18.75,54,2,3.0,3,18.75,1.7972159093690117,14,0,2
1,1,,0,0,227.525,54,0,29.69911764705882,0,227.525,2.9607778604132067,3,0,0
3,0,18.0,2,0,18.0,54,2,18.0,3,18.0,1.7826024579660034,15,0,2
3,1,18.0,1,1,7.8542,54,2,18.0,3,7.8542,1.5101510578167705,3,0,2
1,1,44.0,2,0,90.0,124,1,44.0,2,90.0,2.4595094858493645,10,1,2
1,1,,0,0,30.0,8,2,29.69911764705882,3,30.0,1.97435048583482,3,1,0
1,1,,0,0,42.4,54,2,29.69911764705882,3,42.4,2.115792977411307,3,0,0
3,1,,1,0,24.15,54,1,29.69911764705882,2,24.15,1.8905293628517983,3,0,1
3,1,16.0,0,0,7.775,54,2,16.0,3,7.775,1.5070930932320792,3,0,0
3,1,,0,0,7.3125,54,2,29.69911764705882,3,7.3125,1.4887205242688593,3,0,0
3,1,22.0,0,0,7.8958,54,2,22.0,3,7.8958,1.5117473912278288,3,0,0
2,0,4.0,1,1,23.0,54,2,4.0,3,23.0,1.8721712305548568,15,0,2
2,1,,0,0,13.0,54,2,29.69911764705882,3,13.0,1.6702776523348104,3,0,0
3,1,24.0,0,0,7.1417,54,2,24.0,3,7.1417,1.481700135453066,3,0,0
2,0,30.0,0,0,12.35,54,1,30.0,2,12.35,1.6532304339717367,15,0,0
3,0,29.0,0,2,15.2458,54,0,29.0,0,15.2458,1.7243683526637668,4,0,2
3,1,24.0,0,0,9.5,54,2,24.0,3,9.5,1.5687174265360495,3,0,0
1,0,45.0,1,1,164.8667,54,2,45.0,3,164.8667,2.7760455575207867,4,0,2
2,0,32.0,0,0,13.0,54,2,32.0,3,13.0,1.6702776523348104,4,0,0
3,1,21.0,0,0,7.925,54,2,21.0,3,7.925,1.5128638802220769,3,0,0
1,1,35.0,0,0,512.3292,55,0,35.0,0,249.0062200000004,3.014685687666117,3,1,0
3,0,,8,2,69.55,54,2,29.69911764705882,3,69.55,2.3359278624155344,15,0,10
3,1,,2,0,23.25,54,1,29.69911764705882,2,23.25,1.8762235871661008,3,0,2
1,1,36.0,0,1,512.3292,76,0,36.0,0,249.0062200000004,3.014685687666117,3,1,1
3,0,41.0,0,5,39.6875,54,2,41.0,3,39.6875,2.0880012221280344,4,0,5
3,0,23.0,0,0,7.55,54,2,23.0,3,7.55,1.4982676079809925,15,0,0
3,1,34.0,1,1,14.4,54,2,34.0,3,14.4,1.7047963168076516,3,0,2
2,0,,0,0,33.0,54,2,29.69911764705882,3,33.0,2.0123466170855586,15,0,0
3,1,,0,0,24.15,54,1,29.69911764705882,2,24.15,1.8905293628517983,3,0,0
3,0,15.0,0,0,7.225,54,0,15.0,0,7.225,1.4851405983548165,15,0,0
3,1,,0,0,8.05,54,2,29.69911764705882,3,8.05,1.5176064932892266,3,0,0
3,0,18.0,0,0,7.775,54,2,18.0,3,7.775,1.5070930932320792,15,0,0
3,1,30.0,0,0,8.05,54,2,30.0,3,8.05,1.5176064932892266,3,0,0
2,1,32.0,2,0,73.5,54,2,32.0,3,73.5,2.3618780376616875,3,0,2
3,1,4.0,4,1,29.125,54,1,4.0,2,29.125,1.9626966753210602,14,0,5
3,1,2.0,4,1,29.125,54,1,2.0,2,29.125,1.9626966753210602,14,0,5
3,1,,0,0,8.05,54,2,29.69911764705882,3,8.05,1.5176064932892266,3,0,0
3,1,,2,0,21.6792,54,0,29.69911764705882,0,21.6792,1.850157286311896,3,0,2
1,0,48.0,0,0,25.9292,142,2,48.0,3,25.9292,1.9175991279101599,4,1,0
3,1,31.0,0,0,7.75,54,1,31.0,2,7.75,1.5061226525730975,3,0,0
1,1,47.0,0,0,34.0208,9,2,47.0,3,34.0208,2.0246450888938408,3,1,0
3,0,26.0,1,0,16.1,54,2,26.0,3,16.1,1.7432720823741534,4,0,1
3,1,9.0,5,2,46.9,54,2,9.0,3,46.9,2.1589101519708302,14,0,7
3,1,19.0,0,0,8.05,54,2,19.0,3,8.05,1.5176064932892266,3,0,0
3,1,,0,0,8.05,54,2,29.69911764705882,3,8.05,1.5176064932892266,3,0,0
3,1,22.0,0,0,9.35,54,2,22.0,3,9.35,1.5637319948690074,3,0,0
3,1,,0,0,7.225,54,0,29.69911764705882,0,7.225,1.4851405983548165,3,0,0
2,1,28.0,0,1,33.0,54,2,28.0,3,33.0,2.0123466170855586,6,0,1
2,0,24.0,2,3,18.75,54,2,24.0,3,18.75,1.7972159093690117,4,0,5
3,1,17.0,0,0,8.6625,54,2,17.0,3,8.6625,1.5400281152322484,3,0,0
3,1,,1,0,15.5,54,1,29.69911764705882,2,15.5,1.7300806134344884,3,0,1
3,0,,3,1,25.4667,54,2,29.69911764705882,3,25.4667,1.9107089348696944,15,0,4
3,1,21.0,0,0,8.05,54,2,21.0,3,8.05,1.5176064932892266,3,0,0
1,1,51.0,0,0,26.55,23,2,51.0,3,26.55,1.9266947105086851,3,1,0
3,0,3.0,3,1,21.075,54,2,3.0,3,21.075,1.8397275698182904,15,0,4
3,0,0.75,2,1,19.2583,54,0,0.75,0,19.2583,1.806856196923988,15,0,3
3,1,,0,0,7.2292,54,0,29.69911764705882,0,7.2292,1.4853132250847014,3,0,0
3,1,34.0,0,0,8.05,54,2,34.0,3,8.05,1.5176064932892266,3,0,0
2,0,18.0,0,1,23.0,54,2,18.0,3,23.0,1.8721712305548568,15,0,1
1,0,44.0,0,0,27.7208,69,0,44.0,0,27.7208,1.9433953171183056,4,1,0
3,1,,0,0,14.5,54,2,29.69911764705882,3,14.5,1.7071575395958585,3,0,0
3,1,,0,0,9.5,54,2,29.69911764705882,3,9.5,1.5687174265360495,3,0,0
3,0,37.0,0,0,9.5875,54,2,37.0,3,9.5875,1.5715965812024535,15,0,0
2,1,21.0,1,0,11.5,54,2,21.0,3,11.5,1.629819719346329,3,0,1
1,1,36.0,1,0,78.85,112,2,36.0,3,78.85,2.3953023442886727,3,1,1
3,1,32.0,0,0,7.925,54,2,32.0,3,7.925,1.5128638802220769,3,0,0
3,0,,1,2,23.45,54,2,29.69911764705882,3,23.45,1.8794404489039271,15,0,3
3,1,26.0,0,0,7.775,54,2,26.0,3,7.775,1.5070930932320792,3,0,0
1,1,80.0,0,0,30.0,93,2,65.0,3,30.0,1.97435048583482,3,1,0
3,1,55.5,0,0,8.05,54,2,55.5,3,8.05,1.5176064932892266,3,0,0
2,1,60.0,1,1,39.0,54,2,60.0,3,39.0,2.080716549261844,3,0,2
3,1,,0,0,7.7333,54,1,29.69911764705882,2,7.7333,1.5054730020960585,3,0,0
3,1,18.0,0,0,7.775,54,2,18.0,3,7.775,1.5070930932320792,3,0,0
3,0,14.5,1,0,14.4542,54,0,14.5,0,14.4542,1.7060777218137082,15,0,1
2,1,19.0,0,0,10.5,54,2,19.0,3,10.5,1.6004343344404717,3,0,0
2,0,4.0,2,1,39.0,51,2,4.0,3,39.0,2.080716549261844,15,1,3
3,1,33.0,0,0,8.6542,54,2,33.0,3,8.6542,1.5397328855616323,3,0,0
3,1,21.0,0,0,7.7333,54,1,21.0,2,7.7333,1.5054730020960585,3,0,0
3,0,10.0,0,2,24.15,54,2,10.0,3,24.15,1.8905293628517983,15,0,2
2,1,47.0,0,0,15.0,54,2,47.0,3,15.0,1.7187719275874789,3,0,0
3,0,2.0,4,2,31.275,54,2,2.0,3,31.275,1.9908542366373856,15,0,6
2,0,29.0,1,0,26.0,54,2,29.0,3,26.0,1.9186451916253064,4,0,1
1,0,22.0,1,0,66.6,106,2,22.0,3,66.6,2.3157669197586563,4,1,1
3,1,28.0,1,0,15.85,54,2,28.0,3,15.85,1.7378242505455312,3,0,1
1,1,,0,0,29.7,113,0,29.69911764705882,0,29.7,1.9703858946219757,3,1,0
3,1,26.0,0,0,18.7875,54,0,26.0,0,18.7875,1.7979342213128344,3,0,0
3,1,33.0,0,0,9.5,54,2,33.0,3,9.5,1.5687174265360495,3,0,0
2,0,27.0,0,0,10.5,20,2,27.0,3,10.5,1.6004343344404717,15,1,0
3,0,27.0,0,2,11.1333,54,2,27.0,3,11.1333,1.6192905536180733,4,0,2
2,1,34.0,0,0,13.0,54,2,34.0,3,13.0,1.6702776523348104,3,0,0
3,1,,0,0,7.2292,54,0,29.69911764705882,0,7.2292,1.4853132250847014,3,0,0
1,1,30.0,0,0,27.75,97,0,30.0,0,27.75,1.9438045639530088,3,1,0
3,1,30.0,1,0,16.1,54,2,30.0,3,16.1,1.7432720823741534,3,0,1
2,0,,0,0,12.35,20,1,29.69911764705882,2,12.35,1.6532304339717367,15,1,0
3,1,,0,0,7.775,54,2,29.69911764705882,3,7.775,1.5070930932320792,3,0,0
